Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Apis_mellifera_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_006557657.3.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_026446284.1.p1, XM_026446286.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_026439426.1.p1, XM_026439425.1.p1, XM_026439427.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_001120712.5.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_016917110.2.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	XM_026446288.1.p1, XM_026446287.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_006567526.3.p1, XM_006567516.3.p1, XM_006567536.3.p1, XM_006567565.3.p1, XM_026442827.1.p1, XM_006567515.3.p1, XM_006567530.3.p1, XM_006567513.3.p1, XM_006567527.3.p1, XM_006567500.3.p1, XM_016913864.2.p1, XM_016913869.2.p1, XM_016913867.2.p1, XM_006567477.3.p1, XM_006567537.3.p1, XM_006567528.2.p1, XM_026442825.1.p1, XM_016913866.2.p1, XM_006567571.3.p1, XM_006567562.3.p1, XM_006567561.3.p1, XM_006567550.3.p1, XM_006567564.3.p1, XM_006567544.3.p1, XM_016913870.2.p1, XM_026442826.1.p1, XM_016913863.2.p1, XM_006567539.3.p1, XM_006567523.2.p1, XM_006567524.3.p1, XM_006567546.2.p1, XM_006567559.3.p1, XM_006567563.3.p1, XM_006567554.3.p1, XM_006567545.3.p1, XM_006567551.2.p1, XM_006567541.2.p1, XM_006567532.3.p1, XM_006567531.2.p1, XM_006567529.3.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_006560749.3.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_006569541.3.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_006558464.3.p1, XM_026444561.1.p1, NM_001040266.2.p1, XM_006558453.3.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_016913577.2.p1, XM_006569775.3.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_001120198.5.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	XM_006560347.3.p1, XM_016915754.2.p1, XM_016915753.2.p1, XM_016915755.2.p1, XM_026444577.1.p1, XM_026444576.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_006557498.3.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_393594.6.p1, XM_006558862.3.p1
OG0000000	gnl|WGS_AAJJ|TC032330-RA.p1	XM_026442828.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	XM_026442308.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_006572068.3.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_026445338.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_006559333.3.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_006571406.3.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_016913931.2.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_006560557.3.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_001121888.5.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_026440035.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_625048.5.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_016916502.2.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1, gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_026445177.1.p1, XM_006562300.3.p1, XM_006562301.3.p1, XM_392000.7.p1, XM_006562302.3.p1, XM_006562305.3.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	XM_001119981.5.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1, gnl|WGS_AAJJ|TC008770-RA.p1, gnl|WGS_AAJJ|TC000853-RA.p1, gnl|WGS_AAJJ|TC000719-RA.p1, gnl|WGS_AAJJ|TC000720-RA.p1	NM_001270820.1.p1, NM_001270817.1.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1, gnl|WGS_AAJJ|TC013819-RA.p1, gnl|WGS_AAJJ|TC013821-RA.p1, gnl|WGS_AAJJ|TC013822-RA.p1, gnl|WGS_AAJJ|TC013992-RA.p1, gnl|WGS_AAJJ|TC013820-RA.p1, gnl|WGS_AAJJ|TC013824-RA.p1, gnl|WGS_AAJJ|TC013825-RA.p1, gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	NM_001270822.1.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	XM_003249902.3.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	XR_003305362.1.p1, XM_394772.6.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	XM_392319.7.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	XM_394494.7.p1, XM_016914951.2.p1, XM_016914955.2.p1, XM_016914953.2.p1, XM_006564397.3.p1
OG0000005	gnl|WGS_AAJJ|TC007056-RA.p1, gnl|WGS_AAJJ|TC002562-RA.p1, gnl|WGS_AAJJ|TC003857-RA.p1, gnl|WGS_AAJJ|TC033805-RA.p1, gnl|WGS_AAJJ|TC009395-RA.p1	XM_026441208.1.p1, XM_026441297.1.p1, XM_026441207.1.p1, XM_016912925.2.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	XM_016912202.2.p1
OG0000006	gnl|WGS_AAJJ|TC003478-RA.p1	NM_001278333.1.p1
OG0000006	gnl|WGS_AAJJ|TC012662-RA.p1, gnl|WGS_AAJJ|TC012501-RA.p1, gnl|WGS_AAJJ|TC012500-RA.p1, gnl|WGS_AAJJ|TC012499-RA.p1, gnl|WGS_AAJJ|TC012502-RA.p1, gnl|WGS_AAJJ|TC012495-RA.p1, gnl|WGS_AAJJ|TC034363-RA.p1, gnl|WGS_AAJJ|TC012498-RA.p1, gnl|WGS_AAJJ|TC012503-RA.p1, gnl|WGS_AAJJ|TC012504-RA.p1	XM_006564367.2.p1
