Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Drosophila_melanogaster_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	NM_001258732.2.p1, NM_132704.4.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	NM_167852.2.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	NM_001202400.1.p1, NM_001202401.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	NM_001274426.1.p1, NM_139517.3.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	NM_132863.4.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	NM_176128.5.p1, NM_176134.4.p1, NM_176136.5.p1, NM_206082.4.p1, NM_206083.4.p1, NM_176139.3.p1, NM_206085.4.p1, NM_176138.5.p1, NM_170622.6.p1, NM_176129.5.p1, NM_001032229.3.p1, NM_170623.6.p1, NM_170620.4.p1, NM_176130.5.p1, NM_176131.5.p1, NM_170618.5.p1, NM_206084.4.p1, NM_080027.6.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	NM_169816.2.p1, NM_169817.2.p1, NM_001170177.2.p1, NM_169822.2.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	NM_001104129.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	NM_001144672.3.p1, NM_001201597.1.p1, NM_001258533.1.p1, NM_001201596.3.p1, NM_001414056.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	NM_001169715.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	NM_057214.5.p1, NM_001273449.1.p1
OG0000000	gnl|WGS_AAJJ|TC031411-RA.p1, gnl|WGS_AAJJ|TC034026-RA.p1	NM_170013.3.p1, NM_001104402.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	NM_001201751.2.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	NM_001274155.1.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	NM_001038925.3.p1, NM_001274917.1.p1, NM_206358.4.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	NM_001274653.1.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	NR_167852.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	NM_001300426.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	NM_001259284.2.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	NR_133274.1.p1, NM_001259896.2.p1
OG0000002	gnl|WGS_AAJJ|TC011014-RA.p1	NM_176277.1.p1, NM_001274434.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	NM_001369964.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	NM_144388.2.p1, NM_137767.4.p1, NM_206198.2.p1, NM_135004.2.p1, NM_001274912.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	NM_140454.3.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	NM_168065.2.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	NM_140875.3.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	NM_142568.3.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	NM_165031.3.p1
OG0000002	gnl|WGS_AAJJ|TC032356-RA.p1	NM_141910.2.p1
OG0000002	gnl|WGS_AAJJ|TC002785-RA.p1, gnl|WGS_AAJJ|TC002786-RA.p1	NM_141623.2.p1, NM_141624.3.p1, NM_166886.2.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	NM_132053.2.p1, NM_167056.2.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	NM_133092.3.p1, NM_135067.3.p1, NM_135068.4.p1, NM_135850.3.p1, NM_001272535.1.p1
