Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Halyomorpha_halys_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_014435283.1.p1, XM_014435280.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_024361875.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_024358811.1.p1, XM_024358807.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1, gnl|WGS_AAJJ|TC033029-RB.p1	XM_014416327.2.p1, XM_014416323.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_014434731.2.p1, XM_014434733.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_014431258.2.p1, XM_014431256.2.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_024358593.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	XM_014435240.2.p1, XM_014435238.2.p1, XM_014435239.2.p1, XM_014435233.2.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_014424444.2.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_014416837.2.p1, XM_014416839.2.p1, XM_014416832.2.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_014438872.2.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_024360407.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_024361908.1.p1, XM_014423531.1.p1, XM_014423533.1.p1, XM_014423534.2.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_024362622.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_014426853.2.p1, XM_024360824.1.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	XM_024362539.1.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	XR_001342978.2.p1, XR_001342996.2.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_014423516.2.p1
OG0000001	gnl|WGS_AAJJ|TC001684-RA.p1	XM_014434465.1.p1, XM_024362043.1.p1, XM_014425479.1.p1, XM_014432918.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_024364201.1.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	XM_014427734.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_014421101.2.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_014438696.1.p1
