Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Ips_typographus_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	Ityp05423-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	Ityp02772-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	Ityp05657-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	Ityp05653-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	Ityp21066-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1	Ityp10449-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC003617-RA.p1	Ityp10448-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	Ityp05404-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	Ityp14118-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	Ityp03363-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	Ityp02251-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	Ityp02862-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	Ityp09014-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	Ityp08497-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	Ityp08469-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	Ityp14879-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	Ityp07694-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	Ityp03420-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC011442-RA.p2, gnl|WGS_AAJJ|TC011443-RA.p1	Ityp08058-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC011444-RA.p1	Ityp08056-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC031412-RA.p1	Ityp08055-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC011446-RA.p1	Ityp08048-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	Ityp10906-mRNA.p2
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	Ityp07858-mRNA.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	Ityp07425-mRNA.p1
OG0000001	gnl|WGS_AAJJ|TC016139-RA.p1, gnl|WGS_AAJJ|TC010296-RA.p1	Ityp23123-mRNA.p1, Ityp18891-mRNA.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	Ityp21645-mRNA.p1
