Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Brassicogethes_aeneus_CDS.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	lcl|OV121141.1_cds_CAH0548583.1_14864.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	lcl|OV121140.1_cds_CAH0564028.1_13969.p1
OG0000000	gnl|WGS_AAJJ|TC011137-RA.p1	lcl|OV121134.1_cds_CAH0553880.1_5715.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	lcl|OV121134.1_cds_CAH0553879.1_5714.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	lcl|OV121132.1_cds_CAH0546805.1_1101.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1	lcl|OV121136.1_cds_CAH0557828.1_8916.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1	lcl|OV121132.1_cds_CAH0546569.1_873.p1
OG0000000	gnl|WGS_AAJJ|TC003617-RA.p1	lcl|OV121132.1_cds_CAH0546568.1_872.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	lcl|OV121141.1_cds_CAH0548633.1_14913.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	lcl|OV121132.1_cds_CAH0547439.1_1697.p1, lcl|OV121132.1_cds_CAH0547441.1_1698.p1, lcl|OV121132.1_cds_CAH0547442.1_1696.p1, lcl|OV121132.1_cds_CAH0547444.1_1700.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1	lcl|OV121137.1_cds_CAH0559274.1_10039.p1, lcl|OV121137.1_cds_CAH0559272.1_10037.p1, lcl|OV121137.1_cds_CAH0559273.1_10038.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RA.p1	lcl|OV121137.1_cds_CAH0559275.1_10040.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	lcl|OV121138.1_cds_CAH0560848.1_11374.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	lcl|OV121140.1_cds_CAH0564085.1_14021.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	lcl|OV121140.1_cds_CAH0563549.1_13538.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	lcl|OV121135.1_cds_CAH0555265.1_6773.p1, lcl|OV121135.1_cds_CAH0555266.1_6774.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	lcl|OV121133.1_cds_CAH0552074.1_4280.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	lcl|OV121136.1_cds_CAH0557638.1_8748.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	lcl|OV121136.1_cds_CAH0557561.1_8673.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	lcl|OV121132.1_cds_CAH0546646.1_949.p1, lcl|OV121132.1_cds_CAH0546645.1_948.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	lcl|OV121136.1_cds_CAH0557309.1_8447.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	lcl|OV121138.1_cds_CAH0560499.1_11048.p1
OG0000000	gnl|WGS_AAJJ|TC011445-RA.p1, gnl|WGS_AAJJ|TC011444-RA.p1, gnl|WGS_AAJJ|TC031412-RA.p1, gnl|WGS_AAJJ|TC011446-RA.p1	lcl|OV121134.1_cds_CAH0552591.1_4563.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	lcl|OV121136.1_cds_CAH0557829.1_8917.p1
OG0000000	gnl|WGS_AAJJ|TC032330-RA.p1	lcl|OV121132.1_cds_CAH0547437.1_1694.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	lcl|OV121132.1_cds_CAH0547433.1_1690.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	lcl|OV121136.1_cds_CAH0556620.1_7806.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	lcl|OV121133.1_cds_CAH0550613.1_2956.p1
OG0000001	gnl|WGS_AAJJ|TC016139-RA.p1, gnl|WGS_AAJJ|TC010296-RA.p1	lcl|OV121137.1_cds_CAH0558604.1_9462.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	lcl|OV121140.1_cds_CAH0564505.1_14397.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1	lcl|OV121137.1_cds_CAH0559163.1_9942.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	lcl|OV121137.1_cds_CAH0559164.1_9943.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	lcl|OV121133.1_cds_CAH0551886.1_4114.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	lcl|OV121132.1_cds_CAH0546791.1_1087.p1
OG0000002	gnl|WGS_AAJJ|TC008267-RA.p1	lcl|OV121132.1_cds_CAH0547760.1_1988.p1
OG0000002	gnl|WGS_AAJJ|TC031004-RA.p1	lcl|OV121134.1_cds_CAH0553079.1_5003.p1
OG0000002	gnl|WGS_AAJJ|TC006026-RA.p1	lcl|OV121141.1_cds_CAH0549054.1_15311.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	lcl|OV121134.1_cds_CAH0554047.1_5863.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	lcl|OV121134.1_cds_CAH0554048.1_5864.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	lcl|OV121134.1_cds_CAH0554046.1_5862.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	lcl|OV121139.1_cds_CAH0562228.1_12452.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	lcl|OV121139.1_cds_CAH0562273.1_12494.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	lcl|OV121139.1_cds_CAH0561943.1_12207.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	lcl|OV121139.1_cds_CAH0561955.1_12219.p1
