Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Cotesia_congregata_CDS.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	lcl|CAJNRD030001119.1_cds_CAG5089609.1_5307.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	lcl|CAJNRD030001121.1_cds_CAG5094990.1_7489.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5108767.1_13410.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	lcl|CAJNRD030001123.1_cds_CAG5103815.1_11706.p1
OG0000000	gnl|WGS_AAJJ|TC031038-RA.p1	lcl|CAJNRD030001118.1_cds_CAG5082699.1_3634.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	lcl|CAJNRD030001121.1_cds_CAG5097863.1_8922.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1, gnl|WGS_AAJJ|TC000589-RA.p1	lcl|CAJNRD030001119.1_cds_CAG5088165.1_4744.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5076011.1_1998.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	lcl|CAJNRD030001124.1_cds_CAG5108828.1_13471.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	lcl|CAJNRD030001119.1_cds_CAG5088983.1_5056.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5109237.1_13880.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1, gnl|WGS_AAJJ|TC033240-RA.p1	lcl|CAJNRD030001123.1_cds_CAG5102706.1_11151.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	lcl|CAJNRD030001117.1_cds_CAG5076687.1_2255.p1
OG0000000	gnl|WGS_AAJJ|TC011445-RA.p1, gnl|WGS_AAJJ|TC011444-RA.p1, gnl|WGS_AAJJ|TC031412-RA.p1, gnl|WGS_AAJJ|TC011446-RA.p1	lcl|CAJNRD030001118.1_cds_CAG5082695.1_3633.p1
OG0000000	gnl|WGS_AAJJ|TC032330-RA.p1	lcl|CAJNRD030001121.1_cds_CAG5097797.1_8889.p1, lcl|CAJNRD030001121.1_cds_CAG5097761.1_8871.p1, lcl|CAJNRD030001121.1_cds_CAG5097795.1_8888.p1, lcl|CAJNRD030001121.1_cds_CAG5097763.1_8872.p1
OG0000000	gnl|WGS_AAJJ|TC032327-RA.p1	lcl|CAJNRD030001121.1_cds_CAG5097815.1_8898.p1
OG0000000	gnl|WGS_AAJJ|TC013787-RA.p1	lcl|CAJNRD030001122.1_cds_CAG5100389.1_9536.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5107737.1_12900.p1
OG0000002	gnl|WGS_AAJJ|TC011078-RA.p1, gnl|WGS_AAJJ|TC002659-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5074923.1_1137.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	lcl|CAJNRD030001123.1_cds_CAG5102550.1_11079.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	lcl|CAJNRD030001120.1_cds_CAG5093436.1_6831.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5076119.1_2106.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5076120.1_2107.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5076118.1_2105.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5108001.1_13026.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	lcl|CAJNRD030001119.1_cds_CAG5087877.1_4637.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5108017.1_13034.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	lcl|CAJNRD030001118.1_cds_CAG5085463.1_4388.p1
OG0000002	gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5076144.1_2131.p1, lcl|CAJNRD030001119.1_cds_CAG5089287.1_5181.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	lcl|CAJNRD030001119.1_cds_CAG5088392.1_4827.p1, lcl|CAJNRD030001123.1_cds_CAG5104476.1_12029.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1, gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	lcl|CAJNRD030001117.1_cds_CAG5079239.1_2966.p1, lcl|CAJNRD030001120.1_cds_CAG5093009.1_6525.p1, lcl|CAJNRD030001120.1_cds_CAG5092616.1_6260.p1, lcl|CAJNRD030001116.1_cds_CAG5074860.1_1094.p1
OG0000003	gnl|WGS_AAJJ|TC007316-RA.p1, gnl|WGS_AAJJ|TC033366-RA.p1	lcl|CAJNRD030001122.1_cds_CAG5100974.1_10054.p1
OG0000003	gnl|WGS_AAJJ|TC031414-RA.p1, gnl|WGS_AAJJ|TC031413-RA.p1, gnl|WGS_AAJJ|TC010955-RA.p1	lcl|CAJNRD030001123.1_cds_CAG5103797.1_11697.p1, lcl|CAJNRD030001118.1_cds_CAG5081299.1_3246.p1, lcl|CAJNRD030001118.1_cds_CAG5081302.1_3247.p1, lcl|CAJNRD030001122.1_cds_HICCMSTLAB_LOCUS9510_9517.p1, lcl|CAJNRD030001123.1_cds_CAG5103795.1_11696.p1
OG0000004	gnl|WGS_AAJJ|TC000723-RA.p2, gnl|WGS_AAJJ|TC000722-RA.p1, gnl|WGS_AAJJ|TC000721-RA.p1, gnl|WGS_AAJJ|TC000724-RA.p1, gnl|WGS_AAJJ|TC000725-RA.p1, gnl|WGS_AAJJ|TC007724-RA.p1, gnl|WGS_AAJJ|TC008770-RA.p1, gnl|WGS_AAJJ|TC000853-RA.p1, gnl|WGS_AAJJ|TC000719-RA.p1, gnl|WGS_AAJJ|TC000720-RA.p1	lcl|CAJNRD030001120.1_cds_CAG5093763.1_7094.p1, lcl|CAJNRD030001120.1_cds_CAG5093764.1_7095.p1, lcl|CAJNRD030001120.1_cds_CAG5093762.1_7093.p1, lcl|CAJNRD030001120.1_cds_CAG5093765.1_7096.p1
OG0000004	gnl|WGS_AAJJ|TC015901-RA.p1, gnl|WGS_AAJJ|TC013819-RA.p1, gnl|WGS_AAJJ|TC013821-RA.p1, gnl|WGS_AAJJ|TC013822-RA.p1, gnl|WGS_AAJJ|TC013992-RA.p1, gnl|WGS_AAJJ|TC013820-RA.p1, gnl|WGS_AAJJ|TC013824-RA.p1, gnl|WGS_AAJJ|TC013825-RA.p1, gnl|WGS_AAJJ|TC013828-RA.p1, gnl|WGS_AAJJ|TC013988-RA.p1, gnl|WGS_AAJJ|TC013987-RA.p1, gnl|WGS_AAJJ|TC011149-RA.p1, gnl|WGS_AAJJ|TC011148-RA.p1, gnl|WGS_AAJJ|TC013990-RA.p1, gnl|WGS_AAJJ|TC013811-RA.p2, gnl|WGS_AAJJ|TC013827-RA.p1, gnl|WGS_AAJJ|TC013826-RA.p1, gnl|WGS_AAJJ|TC013817-RA.p1, gnl|WGS_AAJJ|TC013816-RA.p1, gnl|WGS_AAJJ|TC013809-RA.p1	lcl|CAJNRD030001117.1_cds_CAG5077985.1_2614.p1, lcl|CAJNRD030001117.1_cds_CAG5077994.1_2617.p1
OG0000004	gnl|WGS_AAJJ|TC013808-RA.p1	lcl|CAJNRD030001121.1_cds_CAG5098069.1_9024.p1
OG0000005	gnl|WGS_AAJJ|TC032845-RA.p1	lcl|CAJNRD030001121.1_cds_CAG5095714.1_7850.p1
OG0000005	gnl|WGS_AAJJ|TC030780-RA.p1, gnl|WGS_AAJJ|TC030780-RB.p1	lcl|CAJNRD030001124.1_cds_CAG5108923.1_13566.p1
OG0000005	gnl|WGS_AAJJ|TC032756-RA.p1, gnl|WGS_AAJJ|TC032756-RB.p1, gnl|WGS_AAJJ|TC007632-RA.p1	lcl|CAJNRD030001114.1_cds_CAG5073373.1_317.p1, lcl|CAJNRD030001114.1_cds_CAG5073372.1_316.p1, lcl|CAJNRD030001120.1_cds_CAG5092789.1_6376.p1
OG0000006	gnl|WGS_AAJJ|TC009412-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5106838.1_12467.p1
OG0000006	gnl|WGS_AAJJ|TC012662-RA.p1, gnl|WGS_AAJJ|TC012501-RA.p1, gnl|WGS_AAJJ|TC012500-RA.p1, gnl|WGS_AAJJ|TC012499-RA.p1, gnl|WGS_AAJJ|TC012502-RA.p1, gnl|WGS_AAJJ|TC012495-RA.p1, gnl|WGS_AAJJ|TC034363-RA.p1, gnl|WGS_AAJJ|TC012498-RA.p1, gnl|WGS_AAJJ|TC012503-RA.p1, gnl|WGS_AAJJ|TC012504-RA.p1	lcl|CAJNRD030001124.1_cds_CAG5107523.1_12793.p1, lcl|CAJNRD030001124.1_cds_CAG5107525.1_12794.p1, lcl|CAJNRD030001124.1_cds_CAG5109239.1_13882.p1, lcl|CAJNRD030001118.1_cds_CAG5083881.1_3962.p1, lcl|CAJNRD030001118.1_cds_CAG5083863.1_3956.p1, lcl|CAJNRD030001118.1_cds_CAG5083875.1_3960.p1, lcl|CAJNRD030001118.1_cds_CAG5083218.1_3773.p1
OG0000006	gnl|WGS_AAJJ|TC008058-RA.p1	lcl|CAJNRD030001116.1_cds_CAG5075473.1_1633.p1
OG0000006	gnl|WGS_AAJJ|TC007061-RA.p1	lcl|CAJNRD030001117.1_cds_CAG5077895.1_2589.p1
