Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Leptinotarsa_decemlineata.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC015970-RB.p1, gnl|WGS_AAJJ|TC015970-RA.p1	XM_023159448.1.p1
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_023172543.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_023164160.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_023173435.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1	XM_023165341.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1, gnl|WGS_AAJJ|TC003617-RA.p1	XM_023169109.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_023158700.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1	XM_023163932.1.p1, XM_023163907.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_023164181.1.p1, XM_023164133.1.p1, XM_023164151.1.p1, XM_023164073.1.p1, XM_023164173.1.p1, XM_023164103.1.p1, XM_023164097.1.p1, XM_023164125.1.p1, XM_023164119.1.p1, XM_023164089.1.p1, XM_023164080.1.p1, XM_023164067.1.p1, XM_023164059.1.p1, XM_023164051.1.p1, XM_023164042.1.p1, XM_023164033.1.p1, XM_023164018.1.p1, XM_023163984.1.p1, XM_023163957.1.p1, XM_023163970.1.p1, XM_023163962.1.p1, XM_023163899.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1	XM_023160321.1.p1, XM_023160322.1.p1, XM_023160320.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RA.p1	XM_023160314.1.p1
OG0000000	gnl|WGS_AAJJ|TC007345-RA.p1	XM_023165230.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_023170242.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_023165475.1.p1, XM_023165472.1.p1, XM_023165469.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_023168644.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_023167711.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_023156859.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_023168514.1.p1
