Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Laccaria_bicolor_rna_prot
OG0000000	XM_001587566.1.p1	XM_001879781.1.p1
OG0000000	XM_001597027.1.p1, XM_001589120.1.p1, XM_001595534.1.p1	XM_001881035.1.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	XM_001873915.1.p1
OG0000001	XM_001592821.1.p1, XM_001590837.1.p1	XM_001885126.1.p1, XM_001885125.1.p1
OG0000001	XM_001586869.1.p1	XM_001883160.1.p1, XM_001883162.1.p1, XM_001880475.1.p1, XM_001885918.1.p1
OG0000001	XM_001588682.1.p1, XM_001593835.1.p1, XM_001597802.1.p1, XM_001588558.1.p1, XM_001592974.1.p1	XM_001885027.1.p1
OG0000001	XM_001594847.1.p1	XM_001883777.1.p1
OG0000002	XM_001597407.1.p1, XM_001598579.1.p1	XM_001876737.1.p1, XM_001878003.1.p1, XM_001878349.1.p1
OG0000002	XM_001587049.1.p1	XM_001874898.1.p1
OG0000002	XM_001592437.1.p1	XM_001873604.1.p1
OG0000003	XM_001597102.1.p1	XM_001873361.1.p1
OG0000004	XM_001592712.1.p1, XM_001589122.1.p1, XM_001595598.1.p1, XM_001595241.1.p1, XM_001595883.1.p1, XM_001598793.1.p1	XM_001876816.1.p1, XM_001876413.1.p1, XM_001889356.1.p1, XM_001878899.1.p1, XM_001888170.1.p1, XM_001873566.1.p1, XM_001883315.1.p1, XM_001886981.1.p1, XM_001878135.1.p1, XM_001887189.1.p1, XM_001874183.1.p1
OG0000004	XM_001590148.1.p1, XM_001589143.1.p1, XM_001595066.1.p1, XM_001593416.1.p1, XM_001591744.1.p1, XM_001595585.1.p1, XM_001593987.1.p1, XM_001595584.1.p1, XM_001593460.1.p1, XM_001598271.1.p1, XM_001594402.1.p1, XM_001584494.1.p1, XM_001589759.1.p1, XM_001593459.1.p1, XM_001592651.1.p1, XM_001592714.1.p1, XM_001592148.1.p1, XM_001595196.1.p1	XM_001882412.1.p1
OG0000005	XM_001594565.1.p1, XM_001589933.1.p1	XM_001878762.1.p1, XM_001878989.1.p1
OG0000006	XM_001588863.1.p1, XM_001592785.1.p1, XM_001585971.1.p1, XM_001594656.1.p1	XM_001890592.1.p1
OG0000006	XM_001585309.1.p1	XM_001873692.1.p1
OG0000006	XM_001588137.1.p1	XM_001874796.1.p1
OG0000006	XM_001598725.1.p1, XM_001584562.1.p1, XM_001584772.1.p1	XM_001875039.1.p1, XM_001875577.1.p1, XM_001875575.1.p1, XM_001875574.1.p1
OG0000007	XM_001592113.1.p1	XM_001877566.1.p1, XM_001882024.1.p1, XM_001877908.1.p1
OG0000007	XM_001594740.1.p1, XM_001597058.1.p1, XM_001595440.1.p1	XM_001885096.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1, XM_001593251.1.p1	XM_001874347.1.p1, XM_001873699.1.p1, XM_001888697.1.p1, XM_001874533.1.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	XM_001879682.1.p1
OG0000009	XM_001593400.1.p1	XM_001887979.1.p1
OG0000009	XM_001598922.1.p1	XM_001886782.1.p1
OG0000010	XM_001587851.1.p1, XM_001590333.1.p1	XM_001879059.1.p1, XM_001879315.1.p1, XM_001879543.1.p1, XM_001882143.1.p1, XM_001879550.1.p1, XM_001879060.1.p1, XM_001879063.1.p1
OG0000010	XM_001589139.1.p1, XM_001597412.1.p1, XM_001590585.1.p1	XM_001887558.1.p1
OG0000011	XM_001589489.1.p1	XM_001886175.1.p1, XM_001886648.1.p1
OG0000011	XM_001594075.1.p1, XM_001587898.1.p1, XM_001589484.1.p1	XM_001880975.1.p1
OG0000011	XM_001585940.1.p1	XM_001886259.1.p1
OG0000011	XM_001591956.1.p1	XM_001875211.1.p1
OG0000013	XM_001598880.1.p1	XM_001885986.1.p1, XM_001876167.1.p1, XM_001875736.1.p1
OG0000015	XM_001590640.1.p1, XM_001587535.1.p1, XM_001593082.1.p1, XM_001586348.1.p1, XM_001596393.1.p1, XM_001593885.1.p1, XM_001596760.1.p1, XM_001590919.1.p1	XM_001884318.1.p1, XM_001881635.1.p1, XM_001885228.1.p1, XM_001888377.1.p1, XM_001874629.1.p1
OG0000016	XM_001591158.1.p1	XM_001886887.1.p1
OG0000018	XM_001598881.1.p1, XM_001585047.1.p1, XM_001589923.1.p1, XM_001584504.1.p1, XM_001589463.1.p1, XM_001593239.1.p1, XM_001592971.1.p1, XM_001585013.1.p1, XM_001593916.1.p1, XM_001584503.1.p1, XM_001588213.1.p1, XM_001591140.1.p1, XM_001591684.1.p1, XM_001585991.1.p1	XM_001880016.1.p1
