Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Verticillium_dahliae_rna_prot
OG0000000	XM_001587566.1.p1	XM_009659760.1.p1
OG0000000	XM_001595534.1.p1	XM_009651845.1.p1
OG0000000	XM_001598353.1.p1	XM_009653274.1.p1
OG0000000	XM_001587932.1.p1	XM_009653895.1.p1
OG0000000	XM_001586612.1.p1	XM_009656113.1.p1
OG0000000	XM_001586073.1.p1	XM_009653694.1.p1
OG0000000	XM_001595288.1.p1	XM_009651707.1.p1
OG0000001	XM_001590837.1.p1	XM_009652116.1.p1
OG0000001	XM_001589209.1.p1, XM_001589097.1.p1, XM_001589000.1.p1	XM_009651933.1.p1
OG0000001	XM_001585670.1.p1	XM_009652539.1.p1
OG0000001	XM_001586840.1.p1	XM_009655487.1.p1, XM_009658275.1.p1
OG0000001	XM_001591868.1.p1	XM_009653782.1.p1
OG0000001	XM_001586869.1.p1	XM_009653502.1.p1
OG0000001	XM_001588682.1.p1	XM_009653057.1.p1
OG0000001	XM_001593835.1.p1	XM_009649991.1.p1
OG0000001	XM_001588558.1.p1	XM_009655947.1.p1
OG0000001	XM_001592974.1.p1	XM_009656469.1.p1
OG0000001	XM_001588459.1.p1	XM_009650080.1.p1, XM_009656763.1.p1, XM_009655867.1.p1
OG0000001	XM_001594847.1.p1	XM_009650084.1.p1
OG0000002	XM_001598579.1.p1	XM_009652817.1.p1
OG0000002	XM_001594479.1.p1	XM_009652136.1.p1
OG0000002	XM_001592695.1.p1	XM_009649969.1.p1
OG0000002	XM_001587049.1.p1	XM_009659181.1.p1
OG0000002	XM_001592371.1.p1, XM_001598197.1.p1	XM_009650415.1.p1
OG0000002	XM_001598780.1.p1	XM_009657438.1.p1, XM_009655034.1.p1, XM_009653903.1.p1
OG0000002	XM_001595296.1.p1	XM_009657860.1.p1
OG0000002	XM_001596924.1.p1, XM_001596092.1.p1	XM_009657886.1.p1
OG0000003	XM_001598505.1.p1	XM_009655248.1.p1
OG0000003	XM_001594017.1.p1	XM_009657469.1.p1
OG0000003	XM_001593713.1.p1	XM_009651530.1.p1
OG0000003	XM_001592033.1.p1	XM_009658135.1.p1, XM_009650138.1.p1, XM_009652127.1.p1, XM_009655999.1.p1, XM_009659814.1.p1, XM_009653713.1.p1, XM_009654925.1.p1, XM_009651057.1.p1
OG0000003	XM_001596719.1.p1	XM_009652092.1.p1
OG0000004	XM_001592712.1.p1	XM_009657631.1.p1
OG0000005	XM_001598240.1.p1	XM_009658262.1.p1
OG0000005	XM_001585262.1.p1	XM_009650769.1.p1
OG0000005	XM_001586851.1.p1	XM_009653329.1.p1
OG0000005	XM_001597228.1.p1	XM_009652004.1.p1, XM_009656517.1.p1, XM_009653770.1.p1, XM_009652440.1.p1
OG0000005	XM_001588834.1.p1	XM_009659736.1.p1, XM_009657100.1.p1
OG0000005	XM_001594565.1.p1	XM_009655148.1.p1, XM_009659298.1.p1
OG0000005	XM_001586774.1.p1	XM_009659221.1.p1
OG0000005	XM_001584622.1.p1	XM_009650965.1.p1
OG0000005	XM_001585072.1.p1	XM_009652161.1.p1
OG0000006	XM_001596808.1.p1	XM_009652646.1.p1
OG0000006	XM_001588863.1.p1	XM_009650377.1.p1
OG0000006	XM_001592785.1.p1	XM_009657050.1.p1
OG0000006	XM_001586702.1.p1	XM_009658605.1.p1
OG0000006	XM_001588137.1.p1	XM_009659672.1.p1
OG0000006	XM_001587520.1.p1	XM_009658103.1.p1
OG0000006	XM_001584772.1.p1	XM_009659296.1.p1
OG0000007	XM_001591636.1.p1	XM_009654784.1.p1
OG0000007	XM_001587063.1.p1	XM_009655988.1.p1
OG0000007	XM_001585431.1.p1, XM_001589416.1.p1	XM_009654391.1.p1, XM_009657553.1.p1
OG0000007	XM_001590167.1.p1	XM_009660106.1.p1
OG0000007	XM_001594740.1.p1	XM_009656212.1.p1
OG0000007	XM_001597058.1.p1	XM_009655622.1.p1
OG0000007	XM_001593364.1.p1	XM_009652338.1.p1
OG0000007	XM_001592329.1.p1	XM_009651957.1.p1
OG0000007	XM_001593051.1.p1, XM_001593978.1.p1	XM_009655373.1.p1, XM_009653632.1.p1
OG0000007	XM_001593251.1.p1	XM_009649860.1.p1
OG0000008	XM_001591041.1.p1	XM_009653484.1.p1, XM_009659178.1.p1
OG0000008	XM_001589064.1.p1	XM_009659367.1.p1
OG0000009	XM_001587822.1.p1, XM_001586701.1.p1	XM_009655054.1.p1
OG0000009	XM_001591183.1.p1	XM_009656094.1.p1, XM_009657217.1.p1
OG0000009	XM_001591631.1.p1	XM_009660186.1.p1
OG0000009	XM_001587232.1.p1	XM_009656220.1.p1
OG0000009	XM_001584955.1.p1	XM_009657965.1.p1
OG0000010	XM_001587851.1.p1	XM_009658332.1.p1, XM_009650175.1.p1, XM_009655164.1.p1
OG0000010	XM_001597412.1.p1	XM_009657839.1.p1
OG0000010	XM_001598213.1.p1	XM_009650181.1.p1
OG0000011	XM_001598486.1.p1	XM_009654820.1.p1
OG0000011	XM_001589489.1.p1	XM_009653931.1.p1
OG0000011	XM_001587898.1.p1, XM_001589484.1.p1	XM_009649912.1.p1
OG0000011	XM_001593089.1.p1	XM_009655594.1.p1
OG0000011	XM_001591956.1.p1	XM_009658765.1.p1
OG0000012	XM_001586083.1.p1	XM_009653734.1.p1
OG0000012	XM_001586566.1.p1	XM_009654730.1.p1
OG0000013	XM_001584703.1.p1	XM_009656512.1.p1
OG0000013	XM_001588453.1.p1	XM_009655399.1.p1, XM_009650540.1.p1, XM_009653766.1.p1
OG0000014	XM_001596474.1.p1	XM_009654699.1.p1, XM_009653511.1.p1, XM_009656316.1.p1, XM_009657286.1.p1, XM_009652704.1.p1, XM_009654080.1.p1
OG0000014	XM_001596618.1.p1, XM_001596813.1.p1	XM_009652086.1.p1, XM_009653730.1.p1
OG0000015	XM_001593082.1.p1	XM_009655229.1.p1
OG0000015	XM_001586348.1.p1	XM_009654696.1.p1
OG0000015	XM_001596393.1.p1	XM_009654665.1.p1
OG0000018	XM_001592971.1.p1	XM_009654794.1.p1
OG0000019	XM_001594911.1.p1	XM_009653368.1.p1
OG0000019	XM_001586682.1.p1	XM_009652790.1.p1
OG0000020	XM_001590818.1.p1	XM_009657518.1.p1
OG0000020	XM_001584630.1.p1, XM_001586311.1.p1	XM_009656095.1.p1
OG0000020	XM_001587118.1.p1	XM_009653695.1.p1
OG0000021	XM_001584825.1.p1, XM_001596768.1.p1	XM_009656126.1.p1
OG0000021	XM_001589138.1.p1	XM_009656613.1.p1, XM_009653558.1.p1, XM_009654586.1.p1
OG0000021	XM_001590703.1.p1	XM_009651905.1.p1
OG0000021	XM_001590981.1.p1	XM_009659379.1.p1
OG0000021	XM_001589480.1.p1	XM_009655105.1.p1
OG0000022	XM_001589766.1.p1	XM_009656353.1.p1
OG0000022	XM_001587388.1.p1	XM_009654022.1.p1
OG0000022	XM_001589348.1.p1	XM_009650930.1.p1
OG0000023	XM_001595615.1.p1	XM_009657277.1.p1
OG0000023	XM_001585831.1.p1	XM_009652665.1.p1
OG0000023	XM_001592564.1.p1	XM_009654285.1.p1
OG0000025	XM_001597796.1.p1	XM_009652792.1.p1
OG0000025	XM_001594625.1.p1	XM_009656247.1.p1
OG0000025	XM_001592424.1.p1	XM_009657568.1.p1
OG0000025	XM_001585370.1.p1	XM_009653566.1.p1, XM_009654088.1.p1
OG0000026	XM_001585572.1.p1	XM_009659252.1.p1
OG0000026	XM_001594416.1.p1	XM_009652269.1.p1, XM_009650960.1.p1, XM_009650185.1.p1
OG0000027	XM_001596426.1.p1	XM_009652744.1.p1
OG0000027	XM_001594266.1.p1	XM_009652689.1.p1
OG0000027	XM_001594817.1.p1	XM_009657072.1.p1
OG0000029	XM_001592449.1.p1	XM_009652565.1.p1
OG0000029	XM_001588471.1.p1	XM_009658612.1.p1
OG0000029	XM_001586393.1.p1	XM_009658709.1.p1, XM_009657667.1.p1
OG0000029	XM_001589831.1.p1	XM_009658620.1.p1
OG0000029	XM_001590306.1.p1	XM_009654611.1.p1
OG0000031	XM_001589524.1.p1	XM_009657255.1.p1, XM_009652971.1.p1
OG0000031	XM_001587417.1.p1	XM_009657850.1.p1
OG0000032	XM_001588011.1.p1	XM_009659651.1.p1
OG0000032	XM_001587657.1.p1	XM_009651058.1.p1, XM_009650863.1.p1, XM_009653049.1.p1, XM_009654483.1.p1, XM_009653009.1.p1, XM_009659220.1.p1
OG0000032	XM_001592925.1.p1	XM_009655055.1.p1, XM_009659529.1.p1
OG0000032	XM_001593976.1.p1	XM_009654386.1.p1
OG0000032	XM_001598538.1.p1	XM_009658191.1.p1
OG0000033	XM_001588486.1.p1	XM_009653715.1.p1
OG0000033	XM_001593801.1.p1	XM_009651234.1.p1
OG0000034	XM_001590944.1.p1	XM_009654009.1.p1
OG0000034	XM_001588815.1.p1	XM_009656468.1.p1
OG0000035	XM_001589899.1.p1	XM_009658968.1.p1
OG0000035	XM_001595682.1.p1	XM_009658069.1.p1
OG0000036	XM_001597457.1.p1	XM_009657171.1.p1
OG0000036	XM_001593179.1.p1	XM_009651061.1.p1
OG0000037	XM_001597719.1.p1	XM_009650012.1.p1
OG0000037	XM_001585740.1.p1	XM_009653800.1.p1
OG0000038	XM_001597383.1.p1	XM_009651566.1.p1, XM_009656131.1.p1, XM_009651264.1.p1
OG0000038	XM_001586848.1.p1	XM_009651411.1.p1
OG0000039	XM_001594345.1.p1	XM_009650086.1.p1
OG0000039	XM_001597754.1.p1	XM_009660171.1.p1
OG0000039	XM_001594898.1.p1	XM_009650914.1.p1
OG0000039	XM_001591791.1.p1	XM_009654625.1.p1
OG0000040	XM_001596860.1.p1, XM_001589882.1.p1	XM_009654698.1.p1
OG0000041	XM_001591780.1.p1	XM_009650891.1.p1
OG0000041	XM_001585351.1.p1	XM_009652629.1.p1
OG0000042	XM_001595143.1.p1	XM_009653323.1.p1
OG0000042	XM_001586568.1.p1	XM_009659026.1.p1
OG0000043	XM_001597597.1.p1	XM_009652653.1.p1
OG0000043	XM_001595893.1.p1	XM_009652351.1.p1
OG0000043	XM_001596074.1.p1	XM_009653416.1.p1, XM_009655111.1.p1, XM_009653483.1.p1, XM_009655641.1.p1
OG0000043	XM_001597513.1.p1	XM_009654728.1.p1
OG0000045	XM_001587065.1.p1	XM_009659525.1.p1
OG0000045	XM_001584886.1.p1, XM_001596516.1.p1, XM_001596031.1.p1	XM_009653206.1.p1
OG0000045	XM_001596126.1.p1	XM_009653975.1.p1
OG0000046	XM_001586463.1.p1	XM_009655155.1.p1
OG0000046	XM_001587340.1.p1	XM_009652462.1.p1
OG0000046	XM_001586379.1.p1	XM_009651877.1.p1
OG0000048	XM_001597604.1.p1	XM_009657126.1.p1
OG0000048	XM_001598119.1.p1	XM_009655145.1.p1
OG0000048	XM_001594212.1.p1	XM_009650582.1.p1
OG0000048	XM_001589336.1.p1	XM_009650921.1.p1
OG0000048	XM_001586792.1.p1	XM_009649704.1.p1
OG0000049	XM_001598398.1.p1	XM_009659991.1.p1
OG0000049	XM_001594443.1.p1, XM_001591282.1.p1	XM_009657330.1.p1
OG0000050	XM_001598547.1.p1	XM_009656161.1.p1, XM_009650316.1.p1
OG0000050	XM_001585954.1.p1	XM_009656764.1.p1
OG0000050	XM_001594907.1.p1	XM_009650797.1.p1
OG0000050	XM_001598548.1.p1	XM_009654652.1.p1
OG0000051	XM_001589798.1.p1	XM_009658034.1.p1
OG0000051	XM_001598899.1.p1	XM_009649780.1.p1
OG0000051	XM_001590870.1.p1	XM_009650775.1.p1
OG0000051	XM_001587951.1.p1	XM_009651542.1.p1
OG0000051	XM_001596631.1.p1	XM_009657109.1.p1
OG0000051	XM_001585247.1.p1	XM_009652751.1.p1
OG0000052	XM_001585446.1.p1	XM_009658042.1.p1
OG0000052	XM_001595011.1.p1	XM_009658553.1.p1
OG0000052	XM_001598643.1.p1	XM_009658750.1.p1
OG0000053	XM_001588399.1.p1	XM_009657545.1.p1
