Orthogroup	Tribolium_castaneum_rna.fna.transdecoder_cd	Coccinella_septempunctata_rna.fna.transdecoder_cd
OG0000000	gnl|WGS_AAJJ|TC006481-RA.p1	XM_044903021.1.p1
OG0000000	gnl|WGS_AAJJ|TC011138-RA.p1	XM_044906308.1.p1
OG0000000	gnl|WGS_AAJJ|TC003627-RA.p1	XM_044895035.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RA.p1	XM_044897071.1.p1
OG0000000	gnl|WGS_AAJJ|TC033029-RB.p1	XM_044897072.1.p1
OG0000000	gnl|WGS_AAJJ|TC032438-RA.p1	XM_044901644.1.p1
OG0000000	gnl|WGS_AAJJ|TC003617-RA.p1	XM_044901637.1.p1
OG0000000	gnl|WGS_AAJJ|TC015126-RA.p1	XM_044907003.1.p1
OG0000000	gnl|WGS_AAJJ|TC032328-RG.p1, gnl|WGS_AAJJ|TC032328-RF.p1, gnl|WGS_AAJJ|TC032328-RA.p1, gnl|WGS_AAJJ|TC032328-RD.p1, gnl|WGS_AAJJ|TC032328-RC.p1, gnl|WGS_AAJJ|TC032328-RB.p1	XM_044892006.1.p1, XM_044892050.1.p1, XM_044891998.1.p1, XM_044891989.1.p1, XM_044892015.1.p1, XM_044892032.1.p1, XM_044892027.1.p1, XM_044892042.1.p1, XM_044891980.1.p1, XM_044891972.1.p1
OG0000000	gnl|WGS_AAJJ|TC000589-RB.p1	XM_044905433.1.p1, XM_044905425.1.p1, XM_044905427.1.p1, XM_044905434.1.p1
OG0000000	gnl|WGS_AAJJ|TC006410-RA.p1	XM_044903483.1.p1
OG0000000	gnl|WGS_AAJJ|TC005474-RA.p1, gnl|WGS_AAJJ|TC005474-RB.p1	XM_044902684.1.p1, XM_044902685.1.p1, XM_044902681.1.p1
OG0000000	gnl|WGS_AAJJ|TC012869-RA.p1	XM_044899747.1.p1, XM_044899748.1.p1
OG0000000	gnl|WGS_AAJJ|TC009535-RA.p1	XM_044890547.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RB.p1	XM_044896281.1.p1, XM_044896282.1.p1
OG0000000	gnl|WGS_AAJJ|TC033240-RA.p1	XM_044896280.1.p1, XM_044896272.1.p1
OG0000000	gnl|WGS_AAJJ|TC012894-RA.p1	XM_044895671.1.p1
OG0000000	gnl|WGS_AAJJ|TC034026-RA.p1	XM_044898462.1.p1, XM_044898469.1.p1, XM_044898479.1.p1
OG0000000	gnl|WGS_AAJJ|TC033042-RA.p1	XM_044894751.1.p1
OG0000000	gnl|WGS_AAJJ|TC007162-RA.p1	XM_044893921.1.p1, XM_044893924.1.p1
OG0000000	gnl|WGS_AAJJ|TC013844-RA.p1	XM_044894527.1.p1
OG0000000	gnl|WGS_AAJJ|TC010050-RA.p1	XM_044890204.1.p1
OG0000001	gnl|WGS_AAJJ|TC016155-RA.p1	XR_006537620.1.p1
OG0000001	gnl|WGS_AAJJ|TC010973-RA.p1, gnl|WGS_AAJJ|TC033885-RA.p1, gnl|WGS_AAJJ|TC031215-RB.p1	XM_044908508.1.p1, XM_044910325.1.p1, XM_044904451.1.p1, XM_044905181.1.p1, XM_044891208.1.p1, XM_044900949.1.p1, XM_044900962.1.p1
OG0000001	gnl|WGS_AAJJ|TC002178-RA.p1	XM_044893731.1.p1, XM_044904927.1.p1, XM_044899054.1.p1
OG0000001	gnl|WGS_AAJJ|TC001838-RA.p1	XM_044897887.1.p1
OG0000001	gnl|WGS_AAJJ|TC002454-RA.p1	XM_044910547.1.p1, XM_044890563.1.p1
OG0000001	gnl|WGS_AAJJ|TC016140-RA.p1	XM_044893741.1.p1
OG0000002	gnl|WGS_AAJJ|TC002659-RA.p1	XM_044905951.1.p1
OG0000002	gnl|WGS_AAJJ|TC033855-RA.p1	XM_044889092.1.p1, XM_044889091.1.p1
OG0000002	gnl|WGS_AAJJ|TC003081-RA.p1	XM_044903190.1.p1
OG0000002	gnl|WGS_AAJJ|TC008267-RA.p1, gnl|WGS_AAJJ|TC007017-RA.p1, gnl|WGS_AAJJ|TC008504-RA.p1, gnl|WGS_AAJJ|TC007019-RA.p1, gnl|WGS_AAJJ|TC031004-RA.p1	XM_044901214.1.p1, XM_044900290.1.p1
OG0000002	gnl|WGS_AAJJ|TC006026-RA.p1	XM_044906701.1.p1, XM_044907742.1.p1
OG0000002	gnl|WGS_AAJJ|TC000546-RA.p1	XM_044905744.1.p1
OG0000002	gnl|WGS_AAJJ|TC000545-RA.p1	XM_044905672.1.p1
OG0000002	gnl|WGS_AAJJ|TC001023-RA.p1	XM_044905524.1.p1
OG0000002	gnl|WGS_AAJJ|TC000547-RA.p1	XM_044905982.1.p1
OG0000002	gnl|WGS_AAJJ|TC004770-RA.p1, gnl|WGS_AAJJ|TC013326-RA.p1	XM_044909203.1.p1
OG0000002	gnl|WGS_AAJJ|TC004624-RA.p1	XM_044909536.1.p1
OG0000002	gnl|WGS_AAJJ|TC013613-RA.p1	XM_044910070.1.p1
OG0000002	gnl|WGS_AAJJ|TC004635-RA.p1	XM_044909191.1.p1
OG0000002	gnl|WGS_AAJJ|TC013084-RB.p1, gnl|WGS_AAJJ|TC014083-RA.p1, gnl|WGS_AAJJ|TC013709-RA.p1, gnl|WGS_AAJJ|TC015617-RA.p1, gnl|WGS_AAJJ|TC015618-RA.p1	XM_044905474.1.p1
OG0000002	gnl|WGS_AAJJ|TC004418-RA.p1	XM_044905959.1.p1, XM_044905960.1.p1, XM_044905958.1.p1
OG0000003	gnl|WGS_AAJJ|TC034179-RA.p1	XM_044903323.1.p1, XM_044902577.1.p1, XM_044902576.1.p1
OG0000003	gnl|WGS_AAJJ|TC034829-RA.p1, gnl|WGS_AAJJ|TC000282-RA.p1, gnl|WGS_AAJJ|TC034188-RA.p1, gnl|WGS_AAJJ|TC005352-RA.p1, gnl|WGS_AAJJ|TC005351-RA.p1, gnl|WGS_AAJJ|TC005385-RA.p1, gnl|WGS_AAJJ|TC005386-RA.p1, gnl|WGS_AAJJ|TC005387-RA.p1, gnl|WGS_AAJJ|TC001546-RA.p1, gnl|WGS_AAJJ|TC006441-RA.p1, gnl|WGS_AAJJ|TC006444-RA.p1, gnl|WGS_AAJJ|TC006442-RA.p1, gnl|WGS_AAJJ|TC006445-RA.p1, gnl|WGS_AAJJ|TC034830-RA.p1, gnl|WGS_AAJJ|TC015218-RA.p1, gnl|WGS_AAJJ|TC005384-RA.p1	XM_044893100.1.p1
OG0000003	gnl|WGS_AAJJ|TC015553-RA.p1, gnl|WGS_AAJJ|TC000856-RA.p1	XM_044905709.1.p1
OG0000003	gnl|WGS_AAJJ|TC032833-RA.p1	XM_044905014.1.p1
OG0000003	gnl|WGS_AAJJ|TC010252-RA.p1, gnl|WGS_AAJJ|TC007321-RA.p1, gnl|WGS_AAJJ|TC007320-RA.p1, gnl|WGS_AAJJ|TC007317-RA.p1, gnl|WGS_AAJJ|TC031205-RA.p1, gnl|WGS_AAJJ|TC007315-RA.p1, gnl|WGS_AAJJ|TC007322-RA.p1, gnl|WGS_AAJJ|TC007310-RA.p1, gnl|WGS_AAJJ|TC004818-RA.p1	XM_044905083.1.p1, XM_044904493.1.p1, XM_044905221.1.p1, XM_044901151.1.p1, XM_044905082.1.p1, XM_044905084.1.p1
