Orthogroup	Arabidopsis_thaliana_rna_prot	Hordeum_vulgare_rna_prot
OG0000000	NR_143404.1.p1, NR_143405.1.p1, NR_143403.1.p1, NR_143402.1.p1	XR_006630743.1.p1
OG0000003	NM_103273.2.p1, NM_179207.3.p1, NM_116955.5.p1	XM_045126739.1.p1, XM_045117763.1.p1, XM_045116788.1.p1, XM_045129822.1.p1, XM_045099061.1.p1, XM_045099057.1.p1, XM_045105928.1.p1, XM_045090948.1.p1, XM_045106162.1.p1, XM_045091544.1.p1, XM_045123373.1.p1, XM_045123374.1.p1, XM_045115191.1.p1, XM_045115192.1.p1, XM_045114421.1.p1, XM_045098880.1.p1, XM_045105354.1.p1, XM_045115190.1.p1
OG0000004	NM_103454.1.p1	XM_045102132.1.p1, XM_045110434.1.p1
OG0000009	NM_106521.3.p1, NM_106523.2.p1, NM_001334234.1.p1, NM_105301.2.p1, NM_105302.1.p1, NM_105300.1.p1, NM_105335.1.p1, NM_105303.3.p1, NM_117473.1.p1, NM_106520.3.p1, NM_105631.2.p1, NM_106522.2.p1, NM_104727.1.p1, NM_104728.3.p1, NM_101554.2.p1, NM_001332271.1.p1, NM_001338381.1.p1, NM_123865.1.p1, NM_101246.6.p1, NM_001332087.1.p1, NM_001344037.1.p1, NM_122657.4.p1, NM_001336034.1.p1, NM_201806.3.p1, NM_001336035.1.p1, NM_122174.2.p1, NM_001343751.1.p1, NM_001343755.1.p1, NM_001343750.1.p1, NM_001085145.2.p1, NM_122172.3.p1, NM_122173.1.p1, NM_122486.1.p1, NM_001203604.1.p1, NM_001345065.1.p1, NM_122165.1.p1, NM_001343742.1.p1, NM_122167.3.p1, NM_001343740.1.p1, NM_001344551.1.p1, NM_001343756.1.p1, NM_122179.3.p1, NM_001343757.1.p1	XM_045108892.1.p1
OG0000011	NM_123187.1.p1, NM_105362.2.p1, NM_105363.2.p1, NM_001334255.1.p1, NM_001198403.2.p1, NM_001344238.1.p1, NM_001344237.1.p1	XM_045117829.1.p1, XM_045118663.1.p1, XM_045117838.1.p1, XR_006630444.1.p1, XM_045118666.1.p1, XM_045118659.1.p1, XM_045118667.1.p1, XM_045091704.1.p1, XM_045120783.1.p1, XM_045120782.1.p1, XM_045120784.1.p1
OG0000016	NM_118258.3.p1, NM_001334222.1.p1, NM_001334221.1.p1, NM_001341478.1.p1, NM_112034.3.p1, NM_105253.2.p1, NM_105252.2.p1	XM_045113862.1.p1, XM_045116912.1.p1, XM_045121363.1.p1, XM_045121364.1.p1, XM_045112605.1.p1, XM_045112606.1.p1, XM_045121365.1.p1, XM_045119773.1.p1
OG0000018	NM_001341489.1.p1, NM_118261.4.p1, NM_001341480.1.p1, NM_001341483.1.p1, NM_001341485.1.p1, NM_001341484.1.p1, NM_001341486.1.p1, NM_001341487.1.p1, NM_001341481.1.p1, NM_118242.4.p1, NM_120043.3.p1, NM_116759.3.p1, NM_118446.3.p1, NM_118452.4.p1, NM_118443.3.p1, NM_001341576.1.p1, NM_118444.3.p1, NM_118447.3.p1, NM_001341579.1.p1, NM_114455.2.p1, NM_118460.2.p1, NM_001341598.1.p1, NM_001341575.1.p1, NM_179094.3.p1, NM_001341595.1.p1, NM_001341597.1.p1, NM_001341593.1.p1, NM_118456.3.p1	XM_045109560.1.p1, XM_045109562.1.p1, XM_045109905.1.p1, XM_045109564.1.p1, XM_045109549.1.p1, XM_045109548.1.p1, XM_045109556.1.p1, XM_045094643.1.p1, XM_045112745.1.p1, XM_045112743.1.p1, XM_045094644.1.p1, XM_045128605.1.p1, XM_045128583.1.p1
OG0000020	NM_001333052.1.p1, NM_121001.2.p1, NM_001337980.1.p1, NM_001337982.1.p1, NM_001337983.1.p1, NM_112058.4.p1, NM_112059.2.p1, NM_112060.3.p1, NM_127866.3.p1, NM_001161057.2.p1, NM_201787.2.p1, NM_179703.2.p1, NM_127865.3.p1, NM_001335834.1.p1, NM_127862.4.p1, NM_001335831.1.p1, NM_127857.5.p1, NM_179702.1.p1, NM_001335827.1.p1, NM_127863.5.p1, NM_001335832.1.p1, NM_001335833.1.p1, NM_001036325.3.p1, NM_111880.5.p1, NM_001337877.1.p1, NM_001035592.2.p1, NM_001337876.1.p1, NM_001334576.1.p1, NM_105987.1.p1, NM_001334583.1.p1, NM_123009.4.p1, NM_001344130.1.p1, NM_001344131.1.p1, NM_001344129.1.p1, NM_001334579.1.p1, NM_001334578.1.p1, NM_001334584.1.p1, NM_105990.2.p1, NM_001334580.1.p1, NM_001334582.1.p1, NM_001334581.1.p1, NM_001334577.1.p1	XM_045091552.1.p1, XM_045093779.1.p1, XM_045124292.1.p1, XM_045124293.1.p1, XM_045105924.1.p1, XM_045105925.1.p1, XM_045124288.1.p1, XM_045124286.1.p1, XM_045124290.1.p1, XM_045121399.1.p1, XM_045111633.1.p1, XM_045111632.1.p1, XM_045111631.1.p1, XM_045124544.1.p1, XM_045124545.1.p1, XM_045108080.1.p1, XM_045127203.1.p1, XM_045091642.1.p1, XM_045119020.1.p1, XM_045102779.1.p1
OG0000021	NM_111666.4.p1, NM_113293.5.p1, NM_111499.4.p1, NM_001340790.1.p1, NM_117326.4.p1, NM_001084908.2.p1, NM_001341541.1.p1	XM_045091804.1.p1
OG0000024	NM_126424.2.p1, NM_126423.4.p1, NM_123735.4.p1, NM_102583.2.p1, NM_118761.1.p1, NM_001339191.1.p1, NM_114377.3.p1, NM_128316.1.p1, NM_101213.3.p1, NM_127056.1.p1, NM_101212.3.p1, NM_126422.3.p1	XM_045102777.1.p1, XM_045092451.1.p1, XM_045127956.1.p1, XM_045104656.1.p1, XM_045101672.1.p1, XM_045125144.1.p1, XM_045104117.1.p1, XM_045125155.1.p1, XM_045106894.1.p1, XM_045103011.1.p1
