Orthogroup	Sclerotinia_sclerotiorum_rna_prot	Neonectria_ditissima_cds_prot
OG0000000	XM_001591185.1.p1	lcl|LKCW01000148.1_cds_KPM37963.1_2426.p1, lcl|LKCW01000004.1_cds_KPM45823.1_8593.p1
OG0000000	XM_001595534.1.p1	lcl|LKCW01000049.1_cds_KPM42394.1_9380.p1
OG0000000	XM_001598353.1.p1	lcl|LKCW01000225.1_cds_KPM35959.1_5249.p1
OG0000000	XM_001589596.1.p1, XM_001596634.1.p1	lcl|LKCW01000092.1_cds_KPM40049.1_12383.p1
OG0000000	XM_001587932.1.p1	lcl|LKCW01000169.1_cds_KPM37330.1_3204.p1
OG0000000	XM_001586073.1.p1	lcl|LKCW01000033.1_cds_KPM43401.1_7605.p1, lcl|LKCW01000010.1_cds_KPM45133.1_307.p1
OG0000000	XM_001595288.1.p1	lcl|LKCW01000127.1_cds_KPM38687.1_1533.p1
OG0000001	XM_001592821.1.p1	lcl|LKCW01000091.1_cds_KPM40076.1_12367.p1, lcl|LKCW01000066.1_cds_KPM41351.1_10774.p1, lcl|LKCW01000060.1_cds_KPM41683.1_10429.p1
OG0000001	XM_001585670.1.p1	lcl|LKCW01000043.1_cds_KPM42780.1_8955.p1
OG0000001	XM_001586840.1.p1	lcl|LKCW01000326.1_cds_KPM34543.1_7524.p1
OG0000001	XM_001591868.1.p1	lcl|LKCW01000222.1_cds_KPM36018.1_5193.p1, lcl|LKCW01000032.1_cds_KPM43515.1_7448.p1, lcl|LKCW01000140.1_cds_KPM38240.1_2184.p1
OG0000001	XM_001586869.1.p1	lcl|LKCW01000008.1_cds_KPM45342.1_11709.p1
OG0000001	XM_001593835.1.p1	lcl|LKCW01000025.1_cds_KPM43947.1_5930.p1
OG0000001	XM_001588558.1.p1	lcl|LKCW01000005.1_cds_KPM45715.1_9488.p1
OG0000001	XM_001588459.1.p1	lcl|LKCW01000188.1_cds_KPM36841.1_3867.p1, lcl|LKCW01000110.1_cds_KPM39328.1_820.p1
OG0000001	XM_001594847.1.p1	lcl|LKCW01000017.1_cds_KPM44589.1_3254.p1
OG0000002	XM_001598579.1.p1	lcl|LKCW01000316.1_cds_KPM34631.1_7370.p1
OG0000002	XM_001594479.1.p1	lcl|LKCW01000036.1_cds_KPM43229.1_8023.p1, lcl|LKCW01000226.1_cds_KPM35909.1_5294.p1, lcl|LKCW01000050.1_cds_KPM42363.1_9618.p1
OG0000002	XM_001594076.1.p1	lcl|LKCW01000322.1_cds_KPM34573.1_7497.p1
